Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
81947-63043,WR,DJ,DJ Moore,Moore,6.716666539510091,6,5500,TB@CAR,CAR,TB,,,,,,WR/FLEX
81947-22103,WR,Marvin,Marvin Jones Jr.,Jones Jr.,7.159999847412109,5,5500,NYG@JAC,JAC,NYG,Q,Hamstring,,,,WR/FLEX
81947-25267,WR,Mack,Mack Hollins,Hollins,8.391999816894531,5,5500,HOU@LV,LV,HOU,Q,Heel,,,,WR/FLEX
81947-27441,RB,Damien,Damien Williams,Williams,0.20000000298023224,1,5500,ATL@CIN,ATL,CIN,IR,Ribs,,,,RB/FLEX
81947-90933,RB,Antonio,Antonio Gibson,Gibson,9.683333079020182,6,5500,GB@WAS,WAS,GB,,,,,,RB/FLEX
81947-64496,WR,Olamide,Olamide Zaccheaus,Zaccheaus,7.516666412353516,6,5500,ATL@CIN,ATL,CIN,,,,,,WR/FLEX
81947-38264,WR,Demarcus,Demarcus Robinson,Robinson,3.0166667302449546,6,5400,CLE@BAL,BAL,CLE,,,,,,WR/FLEX
81947-53640,RB,Sony,Sony Michel,Michel,2.8500000635782876,6,5400,SEA@LAC,LAC,SEA,,,,,,RB/FLEX
81947-91677,WR,Shi,Shi Smith,Smith,2.4166666666666665,6,5400,TB@CAR,CAR,TB,,,,,,WR/FLEX
81947-52916,WR,Russell,Russell Gage,Gage,6.283333460489909,6,5400,TB@CAR,TB,CAR,,,,,,WR/FLEX
81947-58041,RB,Mike,Mike Boone,Boone,3,5,5400,NYJ@DEN,DEN,NYJ,,,,,,RB/FLEX
81947-64389,WR,Nick,Nick Westbrook-Ikhine,Westbrook-Ikhine,4.324999809265137,4,5400,IND@TEN,TEN,IND,,,,,,WR/FLEX
81947-56248,WR,Noah,Noah Brown,Brown,7.483333587646484,6,5400,DET@DAL,DAL,DET,,,,,,WR/FLEX
81947-56262,WR,Parris,Parris Campbell,Campbell,5.316666603088379,6,5400,IND@TEN,IND,TEN,,,,,,WR/FLEX
81947-53498,WR,Richie,Richie James Jr.,James Jr.,4.5,6,5300,NYG@JAC,NYG,JAC,,,,,,WR/FLEX
81947-63819,WR,Darius,Darius Slayton,Slayton,4.933333396911621,3,5300,NYG@JAC,NYG,JAC,,,,,,WR/FLEX
81947-52808,RB,Dontrell,Dontrell Hilliard,Hilliard,9.850000381469727,4,5300,IND@TEN,TEN,IND,,,,,,RB/FLEX
81947-52917,WR,DJ,DJ Chark Jr.,Chark Jr.,6.433333079020183,3,5300,DET@DAL,DET,DAL,O,Ankle,,,,WR/FLEX
